Name,Year
Do Anjaane,(1976)
Middle Class Love,(2022)
Sui Dhaaga: Made in India,(2018)
Luck,(I) (2009)
Sarkar 3,(2017)
Umrika,(2015)
RK/RKAY,(2021)
Fiza,(2000)
Dil Hai Ki Manta Nahin,(1991)
Mujrim,(I) (1989)
Madurey,(2004)
The Hero of Color City,(2014)
Raincoat,(2004)
Shudra the Rising,(2012)
Kaal,(2005)
Aa Ab Laut Chalen,(1999)
Monsoon,(I) (2015)
Deewane Huye Paagal,(2005)
Dil... Akhir Dil Hai,(1982)
Jaal,(1986)
Tribhanga,(2021)
Tigers,(2014)
Satyaprem Ki Katha,(2023)
Force,(2011)
Wake Up Sid,(2009)
Nagina,(1986)
The Stoneman Murders,(2009)
Captain Prabhakaran,(1991)
Kill Dil,(2014)
2 States,(2014)
The Xpose,(2014)
Abhimaan,(1973)
Daraar,(1996)
Choked,(2020)
Lootcase,(2020)
Veerana,(1988)
Ek Hasina Thi,(2004)
Once Upon a Time in Mumbaai,(2010)
Bombay Talkies,(2013)
Swarg,(1990)
Dagadi Chaawl,(2015)
Kshatriya,(1993)
Bahut Hua Sammaan,(2020)
Darbar,(2020)
De Dana Dan,(2009)
Pari,(I) (2018)
Khatron Ke Khiladi,(1988)
Khilona Bana Khalnayak,(1995)
Indian Never Again Nirbhaya,(2018)
Thangalaan,
Socha Na Tha,(2005)
It's Entertainment,(2014)
Don,(1978)
Fukrey Returns,(2017)
Parinda,(1989)
Hamari Adhuri Kahani,(2015)
Monalisa,(2021)
Shooter,(2021)
Aap Mujhe Achche Lagne Lage,(2002)
Dream Girl 2,(2023)
Mr Lele,
Mohra,(1994)
Commando 2,(2017)
Mr. India,(1987)
Dobaara,(2018)
The Deceivers,(1988)
D Company,(2021)
Laaga Chunari Mein Daag: Journey of a Woman,(2007)
Tejas,(2023)
Pizza,(I) (2014)
Ungli,(2014)
Kaala Patthar,(1979)
Nail Polish,(I) (2021)
Judgementall Hai Kya,(2019)
Khoon Bhari Maang,(1988)
Har Dil Jo Pyar Karega...,(2000)
Pran Jaye Par Vachan Na Jaye,(1974)
Baaghi 2,(2018)
Band Baaja Baaraat,(2010)
Vaastav: The Reality,(1999)
Bandit Queen,(1994)
Dostana 2,(2021)
Maachis,(1996)
Yes Boss,(1997)
Chimanee Pakhre,(2000)
Pinjar,(2003)
Bade Miyan Chote Miyan,(1998)
Sadma,(1983)
Ishq Vishk,(2003)
Shahid,(2012)
Khandaani Shafakhana,(2019)
Mr. & Mrs. '55,(1955)
Vidhan,(2020)
Zinda,(2006)
Daddy's Daughter,(2017)
Katti Batti,(2015)
Saudagar,(1973)
Khamoshi,(2019)
"Blue Skies, Green Waters, Red Earth",(2013)
Matrubhoomi: A Nation Without Women,(2003)
Panga,(2020)
Dalaal,(1993)
Stanley Ka Dabba,(2011)
Leera the Soulmate,(2018)
Kyaa Kool Hain Hum 3,(2016)
Mardaani,(2014)
Sharmaji Ki Lag Gai,(2019)
Neerja,(2016)
Jhoom Barabar Jhoom,(2007)
Chopsticks,(2019)
Bhoomi,(2017)
1920,(2008)
Henna,(1991)
Kyaa Kool Hai Hum,(2005)
Murder 3,(2013)
Yaar Gaddar,(1994)
Professor X,(1966)
Force 2,(2016)
Bole Chudiyan,
Badnaam,(2020)
Shor in the City,(2010)
Dil Ka Rishta,(2003)
Suhaag,(1994)
The Ghazi Attack,(2017)
Golmaal: Fun Unlimited,(2006)
Soni,(2018)
The Hungry,(2017)
Budhia Singh: Born to Run,(2016)
Mubarakan,(2017)
Andaman,(2021)
Tujhe Meri Kasam,(2003)
Gumnaami,(2019)
Satyavati,(2016)
China Gate,(1998)
Billoo Baadshah,(1989)
Chhota Bheem Kung Fu Dhamaka,(2019)
Sabse Bada Khiladi,(1995)
"Gallit Gondhal, Dillit Mujra",(2009)
Garm Hava,(1974)
Adventures of Tarzan,(1985)
Newton,(2017)
Ballavpur Ki Roopkatha,(2017)
Baap,
Dirty Politics,(2015)
Nagin,(1976)
Babloo Bachelor,(2021)
Jaan-E-Mann: Let's Fall in Love... Again,(2006)
Shakespeare-Wallah,(1965)
Kho Gaye Hum Kahan,
Main Prem Ki Diwani Hoon,(2003)
Awaara,(1951)
Aankh Micholi,(2022)
Kurukshetra,(2000)
Loha,(1987)
Aarzoo,(1999)
Oh Darling Yeh Hai India,(1995)
Woh Kaun Thi?,(1964)
Pyaar Kiya To Darna Kya,(1998)
Dhadak,(2018)
Mission Kashmir,(2000)
Roar: Tigers of the Sundarbans,(2014)
Sampoorna Ramayana,(1961)
Veerappan,(2016)
Dil Ka Kya Kasoor,(1992)
Shakti,(1982)
Kochadaiiyaan,(2014)
Haseena,(2018)
Return of Hanuman,(2007)
The Legend of Bhagat Singh,(2002)
Hey Ram,(2000)
Toofaan,(2021)
Phillauri,(2017)
Welcome to New York,(2018)
Department,(2012)
Chashme Baddoor,(2013)
Dharam Sankat Mein,(2015)
1942: A Love Story,(1994)
Lovefucked,(2018)
Bichhoo,(2000)
Awara Paagal Deewana,(2002)
The Past,(I) (2018)
Soorma,(2018)
Bangistan,(2015)
Rangoon,(II) (2017)
Carry on Jatta 3,
Deewana,(1992)
Karan Arjun,(1995)
Siya,(2022)
Phas Gaye Yaaro,(2022)
Mausam,(2011)
Happy Bhaag Jayegi,(2016)
Dhan Dhana Dhan Goal,(2007)
Pataakha,(2018)
Shree 420,(1955)
Sarkar Raj,(2008)
Dasvidaniya,(2008)
Girlfriend,(2004)
Thackeray,(2019)
Maine Pyar Kiya,(1989)
Sonchiriya,(2019)
Phas Gaye Re Obama,(2010)
Chatrapathi,
Fakira,(1976)
Shikara,(2020)
Suryaa: An Awakening,(1989)
Aankhen,(1993)
Iqbal,(2005)
Policegiri,(2013)
Lajja,(2001)
Perversion,(2020)
Yahan Sabhi Gyani Hain,(2020)
Peepli [Live],(2010)
200: Halla Ho,(2021)
Pyaar To Hona Hi Tha,(1998)
Aamir,(2008)
Tahkhana,(1986)
Helmet,(I) (2021)
People Cover Story: Bachelorette Baby Boom,(I) (2003)
Dedh Ishqiya,(2014)
Janwar,(1965)
14 Phere,(2021)
The Journey of Karma,(2018)
Jalebi,(2018)
Khosla Ka Ghosla!,(2006)
Baaghi: A Rebel for Love,(1990)
Saheb Biwi Aur Gangster 3,(2018)
Julie 2,(2017)
Dayavan,(1988)
Sansar,(1987)
That Girl in Yellow Boots,(2010)
LoveShhuda,(2016)
Fire,(1996)
Zanjeer,(2013)
Pardes,(1997)
Hunterrr,(2015)
One Night Stand,(I) (2016)
Saroj Ka Rishta,(2022)
Biwi No. 1,(1999)
Yamla Pagla Deewana Phir Se...,(2018)
